Plot ID,Location,Treatment,Replicate,Date of burial,"Initial weight green tea including bag, cord and label","Initial weight rooibos tea including bag, cord, and label",Initial weight green tea tea only,Initial weight rooibos tea tea only,Recovery date,"Final weight green tea including bag and cord, no label","Final weight rooibos tea including bag and cord, no label",Final weight green tea tea only,Final weight rooibos tea tea only,Fraction decomposed green tea (ag),Prooibosicted labile fraction rooibos tea (ar), Fraction remaining      rooibos tea (Wt),incubation time      rooibos and green tea (t),S,k
,,,,,,,,,,,,,,,,,,,
17,Elliott.us,P,2,42707,2.126,2.179,1.8762,1.9292,42788,1.05135,1.52647,0.90075,1.37587,0.519907259,0.340841814,0.71318163,81,0.382532946,0.022740746
,,,,,,,,,,,,,,,,,,,
18,Elliott.us,NPK,1,42707,2.073,2.215,1.8232,1.9652,42788,0.91265,1.32632,0.76205,1.17572,0.582026108,0.381565809,0.598269896,81,0.308757592,
,,,,,,,,,,,,,,,,,,,
18,Elliott.us,NPK,2,42707,,2.258,,2.0082,42788,,1.31158,,1.16098,,,0.578119709,81,,
,,,,,,,,,,,,,,,,,,,
19,Elliott.us,PK,1,42707,2.161,2.14,1.9112,1.8902,42788,0.90635,1.3896,0.75575,1.239,0.604567811,0.396343743,0.655486192,81,0.281985973,0.025114988
,,,,,,,,,,,,,,,,,,,
19,Elliott.us,PK,2,42707,2.099,2.192,1.8492,1.9422,42788,1.05148,1.406,0.90088,1.2554,0.512827169,0.336200234,0.646380393,81,0.390941605,
,,,,,,,,,,,,,,,,,,,
20,Elliott.us,K,1,42707,2.044,2.162,1.7942,1.9122,42788,0.97321,1.51234,0.82261,1.36174,0.541517111,0.355008842,0.712132622,81,0.35686804,0.020559764
,,,,,,,,,,,,,,,,,,,
20,Elliott.us,K,2,42707,2.075,2.204,1.8252,1.9542,42788,0.809,1.54723,0.6584,1.39663,0.639272409,0.419095451,0.714681199,81,0.240769111,0.014097865
,,,,,,,,,,,,,,,,,,,
21,Elliott.us,fence,1,42707,,,,,42788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
21,Elliott.us,fence,2,42707,,,,,42788,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
